Year,Month,Day,DayName,midday,evening 
2022,9,15,Thursday,1660,2740
2022,9,16,Friday,3883,2088
2022,9,17,Saturday,1438,2287
2022,9,18,Sunday,2812,6080
2022,9,19,Monday,6513,2405
2022,9,20,Tuesday,9155,9678
2022,9,21,Wednesday,7614,1074
2022,9,22,Thursday,2067,0816
2022,9,23,Friday,8308,9491
2022,9,24,Saturday,7748,2428
2022,9,25,Sunday,7727,3664
2022,9,26,Monday,7052,0316
2022,9,27,Tuesday,0195,6714
2022,9,28,Wednesday,3562,3134
2022,9,29,Thursday,9958,5016
2022,9,30,Friday,2827,0909
2022,10,1,Saturday,8581,5757
2022,10,2,Sunday,0869,9338
2022,10,3,Monday,7826,5016
2022,10,4,Tuesday,9959,8056
2022,10,5,Wednesday,5955,3873
2022,10,6,Thursday,3484,4380
2022,10,7,Friday,3971,9037
2022,10,8,Saturday,6228,3347
2022,10,9,Sunday,5563,9579
2022,10,10,Monday,8909,0403
2022,10,11,Tuesday,5564,2993
2022,10,12,Wednesday,5429,0421
2022,10,13,Thursday,9738,1844
2022,10,14,Friday,2909,0243
2022,10,15,Saturday,7941,8756
2022,10,16,Sunday,1452,7897
2022,10,17,Monday,7166,3030
2022,10,18,Tuesday,3189,1815
2022,10,19,Wednesday,1109,2248
2022,10,20,Thursday,4374,6225
2022,10,21,Friday,6144,2226
2022,10,22,Saturday,8560,8288
2022,10,23,Sunday,0616,7008
2022,10,24,Monday,5010,7088
2022,10,25,Tuesday,3077,8545
2022,10,26,Wednesday,6587,0654
2022,10,27,Thursday,3678,8129
2022,10,28,Friday,4048,1917
2022,10,29,Saturday,3435,8661
2022,10,30,Sunday,5627,9058
2022,10,31,Monday,8860,3581
2022,11,1,Tuesday,5563,6904
2022,11,2,Wednesday,5112,4147
2022,11,3,Thursday,1043,5285
2022,11,4,Friday,4036,7824
2022,11,5,Saturday,4343,3085
2022,11,6,Sunday,2827,5858
2022,11,7,Monday,5941,6943
2022,11,8,Tuesday,5120,7009
2022,11,9,Wednesday,0173,5332
2022,11,10,Thursday,3333,5630
2022,11,11,Friday,5305,4197
2022,11,12,Saturday,9993,1447
2022,11,13,Sunday,1905,9565
2022,11,14,Monday,6636,3274
2022,11,15,Tuesday,1148,2897
2022,11,16,Wednesday,6436,3288
2022,11,17,Thursday,7757,8771
2022,11,18,Friday,5376,4959
2022,11,19,Saturday,1239,9705
2022,11,20,Sunday,7510,5811
2022,11,21,Monday,7577,9319
2022,11,22,Tuesday,5543,4335
2022,11,23,Wednesday,4467,5868
2022,11,24,Thursday,5433,7910
2022,11,25,Friday,6390,0299
2022,11,26,Saturday,2219,1081
2022,11,27,Sunday,3338,2309
2022,11,28,Monday,0120,5496
2022,11,29,Tuesday,9631,4773
2022,11,30,Wednesday,2644,6256
2022,12,1,Thursday,3201,7273
2022,12,2,Friday,7966,9097
2022,12,3,Saturday,6979,8586
2022,12,4,Sunday,9377,0599
2022,12,5,Monday,3120,8508
2022,12,6,Tuesday,2033,9314
2022,12,7,Wednesday,9422,6411
2022,12,8,Thursday,5439,1584
2022,12,9,Friday,0107,4254
2022,12,10,Saturday,6093,0897
2022,12,11,Sunday,8463,5005
2022,12,12,Monday,9382,2605
2022,12,13,Tuesday,4827,6826
2022,12,14,Wednesday,8882,3298
2022,12,15,Thursday,7108,9212
2022,12,16,Friday,6415,6855
2022,12,17,Saturday,8534,5211
2022,12,18,Sunday,5654,4178
2022,12,19,Monday,9488,4746
2022,12,20,Tuesday,1881,3730
2022,12,21,Wednesday,9197,2782
2022,12,22,Thursday,4058,1259
2022,12,23,Friday,7411,5047
2022,12,24,Saturday,4533,8789
2022,12,25,Sunday,7800,9958
2022,12,26,Monday,6059,1971
2022,12,27,Tuesday,0088,5684
2022,12,28,Wednesday,4204,5616
2022,12,29,Thursday,7784,5292
2022,12,30,Friday,0378,4856
2022,12,31,Saturday,3898,2549
2023,1,1,Sunday,4294,5179
2023,1,2,Monday,1630,9674
2023,1,3,Tuesday,6048,1366
2023,1,4,Wednesday,7710,0472
2023,1,5,Thursday,8955,2278
2023,1,6,Friday,1087,3540
2023,1,7,Saturday,0060,9452
2023,1,8,Sunday,8613,7434
2023,1,9,Monday,3994,1573
2023,1,10,Tuesday,8810,6893
2023,1,11,Wednesday,0353,9834
2023,1,12,Thursday,9051,9132
2023,1,13,Friday,9987,9420
2023,1,14,Saturday,9418,6220
2023,1,15,Sunday,3170,0928
2023,1,16,Monday,1494,7100
2023,1,17,Tuesday,0580,2403
2023,1,18,Wednesday,2938,0785
2023,1,19,Thursday,6514,2139
2023,1,20,Friday,3879,2183
2023,1,21,Saturday,7163,7890
2023,1,22,Sunday,8220,9915
2023,1,23,Monday,3171,9252
2023,1,24,Tuesday,9768,9428
2023,1,25,Wednesday,2338,6601
2023,1,26,Thursday,5856,3661
2023,1,27,Friday,9879,9887
2023,1,28,Saturday,5887,5039
2023,1,29,Sunday,5148,1922
2023,1,30,Monday,6995,7749
2023,1,31,Tuesday,4763,6604
2023,2,1,Wednesday,8226,8629
2023,2,2,Thursday,9819,0494
2023,2,3,Friday,8598,4574
2023,2,4,Saturday,1855,7331
2023,2,5,Sunday,5859,9949
